time,DHG,target,VNINDEX_lag2,PHARMA_lag1
2014-03-28,47.45,0,588.06,14.635833333333332
2014-03-31,47.11,0,590.14,14.485
2014-04-01,46.1,0,594.29,14.422083333333331
2014-04-02,45.76,1,591.57,14.248333333333331
2014-04-03,46.78,0,583.85,14.17625
2014-04-04,46.78,1,581.67,14.429166666666667
2014-04-07,47.45,1,589.44,14.450416666666667
2014-04-08,48.13,0,593.04,14.368333333333334
2014-04-10,47.79,0,600.57,14.288333333333334
2014-04-14,47.45,0,603.25,14.250416666666666
2014-04-15,47.11,0,601.33,14.035833333333334
2014-04-16,47.11,1,596.11,13.93625
2014-04-17,47.79,0,586.09,13.943333333333332
2014-04-18,47.79,0,574.29,13.927083333333334
2014-04-21,47.79,0,580.31,13.733333333333334
2014-04-22,47.79,0,565.33,13.615416666666668
2014-04-23,47.45,0,558.14,13.603333333333332
2014-04-24,47.45,0,569.87,13.601666666666668
2014-04-25,47.45,1,569.36,13.679583333333332
2014-04-28,47.79,0,570.46,13.658333333333331
2014-04-29,47.79,0,578.92,13.564583333333331
2014-05-05,47.79,0,573.1,13.532083333333333
2014-05-06,46.78,0,578.0,13.569583333333334
2014-05-07,46.78,0,564.85,13.484583333333331
2014-05-08,43.72,0,555.11,13.534166666666666
2014-05-09,43.72,0,559.97,13.075833333333334
2014-05-12,40.67,0,527.09,13.15
2014-05-13,39.32,1,542.46,12.673333333333334
2014-05-14,39.66,0,517.05,12.597916666666668
2014-05-15,39.66,1,513.91,12.722916666666668
2014-05-16,40.34,1,529.53,12.749166666666667
2014-05-19,42.03,1,524.05,12.867916666666666
2014-05-20,42.71,1,529.49,13.095416666666669
2014-05-21,44.06,1,533.04,12.990833333333336
2014-05-22,44.4,0,537.52,13.11875
2014-05-23,44.06,0,543.88,13.059166666666668
2014-05-26,44.06,1,541.73,13.077916666666669
2014-05-27,44.4,1,541.49,13.037083333333332
2014-05-28,44.74,0,544.06,13.182916666666666
2014-05-29,44.74,1,552.75,13.224583333333332
2014-05-30,46.1,0,557.34,13.14625
2014-06-02,45.65,0,558.45,13.139166666666666
2014-06-03,45.65,0,562.02,13.116666666666667
2014-06-04,44.29,0,556.8,13.090833333333334
2014-06-05,44.29,0,558.76,12.960416666666667
2014-06-06,44.06,1,553.46,13.092083333333331
2014-06-09,44.52,0,551.1,13.11875
2014-06-10,43.84,0,559.04,13.129583333333334
2014-06-11,43.61,0,565.61,13.189166666666669
2014-06-12,43.61,1,566.89,12.852916666666664
2014-06-13,44.06,0,570.36,12.885416666666666
2014-06-16,43.84,0,573.77,13.005833333333332
2014-06-17,43.84,0,574.48,12.984166666666669
2014-06-18,43.39,0,572.37,12.961666666666666
2014-06-19,43.39,1,572.25,13.02625
2014-06-20,43.61,1,570.03,13.000416666666666
2014-06-23,43.84,1,567.35,12.98875
2014-06-24,44.29,0,560.78,12.975
2014-06-25,44.29,1,565.92,12.925833333333337
2014-06-26,44.52,0,569.74,12.4252
2014-06-27,44.52,0,572.27,12.3984
2014-06-30,44.29,0,576.4,12.4364
2014-07-01,43.61,1,578.82,12.6576
2014-07-02,43.84,0,578.13,13.15
2014-07-03,43.84,0,578.07,13.408
2014-07-04,43.84,1,578.8,13.4448
