time,ticker,open,high,low,close,volume
2014-01-02,TRA,34.9,35.72,34.69,35.31,660
2014-01-03,TRA,34.9,35.72,34.9,35.51,5800
2014-01-06,TRA,33.87,37.57,33.67,36.95,22300
2014-01-07,TRA,36.13,36.54,35.92,36.13,2750
2014-01-08,TRA,36.54,36.95,36.13,36.95,11160
2014-01-09,TRA,36.95,36.95,36.13,36.13,9930
2014-01-10,TRA,36.75,36.75,36.13,36.75,3470
2014-01-13,TRA,37.36,37.36,35.72,35.72,3290
2014-01-14,TRA,35.92,36.13,35.72,36.13,3470
2014-01-15,TRA,36.13,37.16,36.13,37.16,24920
2014-01-16,TRA,37.16,37.16,34.69,36.95,4160
2014-01-17,TRA,35.51,36.75,35.31,36.13,4070
2014-01-20,TRA,36.13,36.54,35.31,35.31,7560
2014-01-21,TRA,34.9,36.95,34.69,35.31,22700
2014-01-22,TRA,35.31,36.13,35.1,35.31,25010
2014-01-23,TRA,34.9,35.31,34.69,35.31,5530
2014-01-24,TRA,34.9,35.31,34.9,35.31,6610
2014-01-27,TRA,36.13,36.13,35.1,35.51,470
2014-02-06,TRA,34.49,34.9,34.08,34.9,12210
2014-02-07,TRA,34.9,34.9,34.69,34.9,6630
2014-02-10,TRA,34.9,34.9,34.69,34.9,9320
2014-02-11,TRA,34.9,35.72,34.9,35.72,5960
2014-02-12,TRA,35.92,36.34,35.92,35.92,5260
2014-02-13,TRA,36.13,36.95,35.92,35.92,7590
2014-02-14,TRA,36.96,37.38,36.34,36.55,5270
2014-02-17,TRA,35.51,35.92,35.51,35.92,1250
2014-02-18,TRA,35.72,36.55,35.72,36.13,970
2014-02-19,TRA,36.13,36.55,35.51,36.55,4620
2014-02-20,TRA,35.72,36.13,35.3,36.13,1930
2014-02-21,TRA,36.13,36.55,36.13,36.55,2180
2014-02-24,TRA,36.55,36.55,35.92,36.55,6170
2014-02-25,TRA,36.55,36.55,35.72,35.72,1540
2014-02-26,TRA,35.72,35.72,35.3,35.3,5350
2014-02-27,TRA,35.3,36.34,35.09,35.51,9340
2014-02-28,TRA,35.51,36.13,35.51,36.13,570
2014-03-03,TRA,36.34,36.34,35.72,36.13,1900
2014-03-04,TRA,36.13,36.13,35.3,36.13,1200
2014-03-05,TRA,35.72,35.92,35.3,35.92,3680
2014-03-06,TRA,35.92,35.92,35.3,35.51,3780
2014-03-07,TRA,35.72,35.72,35.3,35.51,3060
2014-03-10,TRA,35.09,35.51,35.09,35.09,3130
2014-03-11,TRA,35.51,35.51,35.09,35.51,1760
2014-03-12,TRA,35.3,35.72,35.09,35.72,7080
2014-03-13,TRA,35.51,35.72,35.3,35.72,18780
2014-03-14,TRA,35.72,35.92,35.51,35.92,4470
2014-03-17,TRA,35.92,35.92,35.3,35.3,2960
2014-03-18,TRA,35.09,36.55,35.09,36.13,15030
2014-03-19,TRA,35.72,36.55,35.51,36.13,20550
2014-03-20,TRA,36.13,36.55,36.13,36.55,7290
2014-03-21,TRA,35.92,35.92,35.72,35.72,600
2014-03-24,TRA,35.72,35.72,35.51,35.72,4140
2014-03-25,TRA,35.72,36.13,35.51,35.51,10660
2014-03-26,TRA,36.13,36.34,35.3,36.13,20600
2014-03-27,TRA,36.13,36.55,35.92,36.13,18970
2014-03-28,TRA,36.13,36.34,36.13,36.34,7170
2014-03-31,TRA,36.34,36.34,36.13,36.13,810
2014-04-01,TRA,36.13,36.13,36.13,36.13,3640
2014-04-02,TRA,34.26,36.13,34.26,35.92,5770
2014-04-03,TRA,36.13,36.55,36.13,36.13,1400
2014-04-04,TRA,36.13,36.55,36.13,36.55,4390
2014-04-07,TRA,38.21,38.21,36.75,36.75,1500
2014-04-08,TRA,35.72,35.72,35.72,35.72,100
2014-04-10,TRA,35.72,36.55,35.72,36.55,500
2014-04-11,TRA,36.75,36.75,35.92,36.55,940
2014-04-14,TRA,37.38,37.38,35.3,35.3,5700
2014-04-15,TRA,35.3,35.3,35.3,35.3,3200
2014-04-16,TRA,35.3,35.3,35.3,35.3,1300
2014-04-17,TRA,37.17,37.17,35.3,35.72,5340
2014-04-18,TRA,34.68,35.09,34.68,34.89,1000
2014-04-21,TRA,35.09,35.09,34.89,34.89,1150
2014-04-22,TRA,34.89,34.89,34.26,34.89,7860
2014-04-23,TRA,34.47,34.47,34.26,34.47,440
2014-04-24,TRA,33.22,33.64,32.39,32.39,4360
2014-04-25,TRA,32.39,32.81,30.32,31.56,5240
2014-04-28,TRA,31.77,31.98,31.77,31.98,600
2014-04-29,TRA,33.64,33.64,32.39,33.22,180
2014-05-05,TRA,34.05,34.05,31.56,31.56,310
2014-05-06,TRA,31.56,31.56,30.73,31.56,740
2014-05-07,TRA,32.39,33.22,30.73,31.56,2730
2014-05-08,TRA,30.73,31.15,30.11,31.15,5030
2014-05-09,TRA,31.56,31.56,30.52,30.52,9530
2014-05-12,TRA,31.56,31.56,29.9,30.11,3600
2014-05-13,TRA,30.11,30.73,30.11,30.73,160
2014-05-14,TRA,31.56,31.56,31.36,31.36,320
2014-05-15,TRA,31.56,31.56,31.36,31.56,3470
2014-05-16,TRA,33.22,33.22,31.77,31.98,1630
2014-05-19,TRA,32.81,32.81,31.98,32.39,270
2014-05-20,TRA,30.32,31.15,30.32,31.15,9050
2014-05-21,TRA,31.15,31.98,31.15,31.15,1170
2014-05-22,TRA,30.73,31.15,30.73,31.15,6170
2014-05-23,TRA,31.15,31.15,30.73,30.73,7160
2014-05-26,TRA,30.32,31.15,30.32,31.15,1600
2014-05-27,TRA,31.15,31.56,31.15,31.15,140
2014-05-28,TRA,30.73,30.94,30.73,30.73,2050
2014-05-29,TRA,30.73,30.73,30.73,30.73,1710
2014-05-30,TRA,31.56,31.56,30.94,30.94,130
2014-06-02,TRA,30.73,30.73,30.73,30.73,1100
2014-06-03,TRA,30.73,30.73,30.73,30.73,2210
2014-06-04,TRA,31.15,31.15,30.73,30.73,10460
2014-06-05,TRA,30.73,30.73,30.73,30.73,1000
2014-06-06,TRA,30.94,31.15,30.73,31.15,56060
2014-06-09,TRA,31.56,31.98,31.56,31.98,210
2014-06-10,TRA,31.98,33.64,31.98,33.64,820
2014-06-11,TRA,34.05,34.05,31.98,31.98,1340
2014-06-12,TRA,31.15,32.39,31.15,32.39,1460
2014-06-13,TRA,32.81,32.81,32.81,32.81,60
2014-06-16,TRA,31.15,31.15,30.94,31.15,2460
2014-06-17,TRA,30.94,31.77,30.94,31.77,40
2014-06-18,TRA,31.15,31.15,30.94,30.94,220
2014-06-19,TRA,30.94,30.94,30.73,30.94,830
2014-06-20,TRA,30.94,30.94,30.94,30.94,300
2014-06-23,TRA,30.94,30.94,30.94,30.94,0
2014-06-24,TRA,30.94,30.94,30.94,30.94,0
2014-06-25,TRA,31.98,31.98,31.77,31.77,520
2014-06-26,TRA,31.56,31.56,31.56,31.56,170
2014-06-27,TRA,31.56,31.98,31.56,31.98,790
2014-06-30,TRA,31.98,31.98,31.98,31.98,3010
2014-07-01,TRA,31.36,31.36,31.15,31.15,930
2014-07-02,TRA,31.56,33.22,31.56,33.22,1360
2014-07-03,TRA,33.22,34.05,31.77,32.19,2560
2014-07-04,TRA,32.39,32.39,32.39,32.39,500
2014-07-07,TRA,32.39,34.47,32.39,33.64,1510
2014-07-08,TRA,33.64,35.72,32.6,32.6,3010
2014-07-09,TRA,33.22,33.22,33.22,33.22,720
2014-07-10,TRA,32.6,32.81,32.6,32.81,120
2014-07-11,TRA,32.81,32.81,32.6,32.6,670
2014-07-14,TRA,32.81,32.81,32.81,32.81,390
2014-07-15,TRA,32.81,33.02,32.81,33.02,510
2014-07-16,TRA,33.22,33.22,33.22,33.22,20
2014-07-17,TRA,32.81,32.81,31.98,31.98,5820
2014-07-18,TRA,32.6,32.81,32.6,32.81,740
2014-07-21,TRA,32.81,32.81,32.39,32.39,7960
2014-07-22,TRA,32.39,32.39,31.98,31.98,500
2014-07-23,TRA,32.39,32.39,31.56,31.56,7760
2014-07-24,TRA,31.98,31.98,31.56,31.56,2280
2014-07-25,TRA,31.77,31.77,31.56,31.56,1670
2014-07-28,TRA,31.98,31.98,31.15,31.36,3560
2014-07-29,TRA,31.36,31.36,30.32,30.32,1700
2014-07-30,TRA,30.52,30.52,30.32,30.32,1400
2014-07-31,TRA,30.32,30.52,30.32,30.52,2060
2014-08-01,TRA,30.52,30.73,30.52,30.73,870
2014-08-04,TRA,30.73,30.73,30.73,30.73,500
2014-08-05,TRA,30.52,32.39,30.52,32.39,530
2014-08-06,TRA,32.39,32.39,32.39,32.39,0
2014-08-07,TRA,32.39,32.39,32.39,32.39,0
2014-08-08,TRA,32.39,32.39,32.39,32.39,0
2014-08-11,TRA,32.39,32.39,32.39,32.39,0
2014-08-12,TRA,30.52,31.77,30.32,30.32,21300
2014-08-13,TRA,30.73,30.73,29.28,29.49,11240
2014-08-14,TRA,30.73,30.73,29.28,30.32,120
2014-08-15,TRA,30.32,30.73,30.32,30.52,700
2014-08-18,TRA,31.36,31.36,30.11,30.11,1530
2014-08-19,TRA,30.11,30.32,30.11,30.32,70
2014-08-20,TRA,30.32,30.52,30.32,30.52,580
2014-08-21,TRA,30.52,30.52,30.52,30.52,0
2014-08-22,TRA,30.52,30.52,30.32,30.32,520
2014-08-25,TRA,30.11,30.11,30.11,30.11,10
2014-08-26,TRA,30.11,30.11,29.9,30.11,4190
2014-08-27,TRA,30.11,30.11,30.11,30.11,0
2014-08-28,TRA,30.11,30.73,29.9,30.73,3630
2014-08-29,TRA,30.52,30.52,29.9,30.32,3820
2014-09-03,TRA,30.52,30.73,30.52,30.52,2770
2014-09-04,TRA,30.11,30.52,30.11,30.11,6930
2014-09-05,TRA,30.32,30.32,29.9,30.32,3210
2014-09-08,TRA,30.32,30.52,30.32,30.32,3070
2014-09-09,TRA,30.32,31.15,30.11,30.11,8540
2014-09-10,TRA,29.9,30.52,29.9,30.32,3320
2014-09-11,TRA,30.32,30.52,30.32,30.52,4820
2014-09-12,TRA,30.73,30.73,30.52,30.73,4520
2014-09-15,TRA,30.32,30.32,30.32,30.32,10
2014-09-16,TRA,29.9,30.32,29.49,30.32,820
2014-09-17,TRA,30.52,30.94,30.52,30.73,4800
2014-09-18,TRA,30.52,30.52,30.52,30.52,1950
2014-09-19,TRA,30.73,30.73,30.73,30.73,80
2014-09-22,TRA,30.73,30.73,30.11,30.11,900
2014-09-23,TRA,30.11,30.52,30.11,30.11,980
2014-09-24,TRA,30.73,30.94,30.52,30.52,6490
2014-09-25,TRA,30.73,30.73,30.73,30.73,50
2014-09-26,TRA,30.73,30.73,30.52,30.52,370
2014-09-29,TRA,30.73,32.6,30.73,32.19,8320
2014-09-30,TRA,31.98,32.39,31.15,31.36,5690
2014-10-01,TRA,31.56,32.19,31.15,31.56,3870
2014-10-02,TRA,31.98,32.19,31.15,31.15,2760
2014-10-03,TRA,31.15,31.98,31.15,31.98,130
2014-10-06,TRA,31.15,32.19,31.15,31.98,10380
2014-10-07,TRA,31.98,32.19,31.98,32.19,7050
2014-10-08,TRA,32.19,32.19,31.98,31.98,5930
2014-10-09,TRA,31.56,31.56,31.56,31.56,2460
2014-10-10,TRA,31.56,31.56,31.56,31.56,1080
2014-10-13,TRA,31.56,31.56,31.56,31.56,1930
2014-10-14,TRA,31.56,31.77,31.56,31.56,1380
2014-10-15,TRA,31.56,31.56,31.56,31.56,1600
2014-10-16,TRA,31.56,31.56,31.56,31.56,6040
2014-10-17,TRA,31.56,31.56,31.56,31.56,1480
2014-10-20,TRA,31.56,31.56,31.56,31.56,0
2014-10-21,TRA,31.56,31.56,31.15,31.15,20
2014-10-22,TRA,31.15,31.15,30.73,30.73,80
2014-10-23,TRA,30.73,30.73,30.73,30.73,5500
2014-10-24,TRA,30.73,30.73,30.73,30.73,490
2014-10-27,TRA,30.73,30.73,30.73,30.73,600
2014-10-28,TRA,30.73,30.73,30.73,30.73,0
2014-10-29,TRA,30.73,31.15,30.73,31.15,510
2014-10-30,TRA,31.15,31.36,31.15,31.36,1240
2014-10-31,TRA,31.56,31.56,31.56,31.56,440
2014-11-03,TRA,31.56,31.56,31.56,31.56,0
2014-11-04,TRA,31.36,31.98,31.36,31.98,60
2014-11-05,TRA,31.36,31.36,31.36,31.36,200
2014-11-06,TRA,31.36,31.56,31.36,31.36,3200
2014-11-07,TRA,31.56,31.56,31.56,31.56,30
2014-11-10,TRA,31.56,31.56,31.56,31.56,2300
2014-11-11,TRA,31.56,31.98,31.56,31.56,5510
2014-11-12,TRA,31.56,31.56,31.56,31.56,2100
2014-11-13,TRA,31.98,31.98,31.98,31.98,390
2014-11-14,TRA,31.56,31.56,31.15,31.56,6110
2014-11-17,TRA,31.15,31.56,30.32,31.36,5450
2014-11-18,TRA,31.15,31.36,31.15,31.15,14730
2014-11-19,TRA,31.56,31.56,30.94,31.15,10210
2014-11-20,TRA,31.36,31.98,30.32,31.15,11610
2014-11-21,TRA,30.73,31.15,30.73,31.15,120
2014-11-24,TRA,31.36,31.56,30.32,31.56,1030
2014-11-25,TRA,31.36,31.36,30.32,31.15,150
2014-11-26,TRA,31.36,31.36,30.73,31.36,850
2014-11-27,TRA,31.15,31.15,30.52,30.52,290
2014-11-28,TRA,30.52,30.73,30.52,30.52,6340
2014-12-01,TRA,30.52,30.52,30.32,30.32,3950
2014-12-02,TRA,30.32,30.32,30.32,30.32,23660
2014-12-03,TRA,30.32,30.32,30.32,30.32,99360
2014-12-04,TRA,31.98,31.98,30.11,30.11,32540
2014-12-05,TRA,30.94,30.94,30.32,30.32,1400
2014-12-08,TRA,30.32,30.32,30.11,30.11,780
2014-12-09,TRA,30.11,30.11,29.9,29.9,1570
2014-12-10,TRA,29.9,29.9,29.69,29.69,5070
2014-12-11,TRA,29.69,29.69,29.69,29.69,4660
2014-12-12,TRA,29.69,29.69,29.69,29.69,2690
2014-12-15,TRA,29.69,29.69,29.69,29.69,0
2014-12-16,TRA,29.69,29.9,29.69,29.9,540
2014-12-17,TRA,29.69,29.69,29.69,29.69,1140
2014-12-18,TRA,29.69,30.32,29.69,29.69,900
2014-12-19,TRA,29.9,29.9,29.9,29.9,1210
2014-12-22,TRA,29.9,29.9,29.9,29.9,0
2014-12-23,TRA,29.9,29.9,29.9,29.9,0
2014-12-24,TRA,30.32,31.15,30.32,31.15,7100
2014-12-25,TRA,30.52,30.52,30.52,30.52,50
2014-12-26,TRA,30.32,30.32,30.11,30.11,1000
2014-12-29,TRA,30.32,30.32,30.32,30.32,10
2014-12-30,TRA,29.9,30.32,29.9,30.32,1700
2014-12-31,TRA,30.32,30.32,30.32,30.32,1000
2015-01-05,TRA,30.32,30.32,30.32,30.32,0
2015-01-06,TRA,30.32,30.32,30.32,30.32,0
2015-01-07,TRA,30.32,30.32,30.32,30.32,5400
2015-01-08,TRA,30.73,30.73,30.73,30.73,1360
