time,ticker,open,high,low,close,volume
2014-01-02,DHG,38.64,38.64,37.96,38.64,12410
2014-01-03,DHG,38.64,38.64,38.3,38.64,940
2014-01-06,DHG,38.64,38.64,38.3,38.3,16230
2014-01-07,DHG,38.3,38.64,37.96,38.64,5330
2014-01-08,DHG,37.96,38.64,37.96,38.64,5370
2014-01-09,DHG,38.3,38.64,38.3,38.64,7860
2014-01-10,DHG,39.32,39.32,38.64,38.64,14060
2014-01-13,DHG,38.64,38.64,38.64,38.64,10590
2014-01-14,DHG,38.3,38.98,38.3,38.98,10630
2014-01-15,DHG,38.3,38.98,38.3,38.3,33210
2014-01-16,DHG,38.98,38.98,38.64,38.98,6920
2014-01-17,DHG,38.98,41.35,38.98,40.67,48070
2014-01-20,DHG,41.35,41.35,40.34,40.34,24410
2014-01-21,DHG,40.0,40.67,38.98,40.67,10080
2014-01-22,DHG,40.34,40.67,39.66,39.66,34260
2014-01-23,DHG,39.66,40.0,39.66,39.66,9210
2014-01-24,DHG,40.0,40.34,39.32,40.34,12120
2014-01-27,DHG,40.0,43.05,39.66,42.71,39000
2014-02-06,DHG,42.37,43.39,42.37,43.05,17670
2014-02-07,DHG,43.05,43.39,41.69,41.69,16050
2014-02-10,DHG,42.03,43.39,41.69,43.39,9780
2014-02-11,DHG,43.72,46.1,43.05,44.06,50250
2014-02-12,DHG,44.74,45.42,44.06,45.42,33360
2014-02-13,DHG,45.76,45.76,44.74,45.76,67140
2014-02-14,DHG,45.76,45.76,44.4,44.4,22350
2014-02-17,DHG,44.06,44.74,44.06,44.06,18880
2014-02-18,DHG,43.72,44.4,43.72,44.06,12800
2014-02-19,DHG,45.08,45.42,44.4,45.08,47650
2014-02-20,DHG,45.42,45.42,43.72,44.74,29930
2014-02-21,DHG,44.74,44.74,43.39,44.74,6410
2014-02-24,DHG,44.74,44.74,44.06,44.74,18660
2014-02-25,DHG,44.4,44.74,44.06,44.74,11160
2014-02-26,DHG,44.74,44.74,43.72,44.4,20860
2014-02-27,DHG,44.06,44.06,43.39,43.39,9930
2014-02-28,DHG,43.72,43.72,42.71,43.72,11740
2014-03-03,DHG,43.39,44.06,43.39,43.39,22760
2014-03-04,DHG,42.71,44.06,42.71,44.06,16050
2014-03-05,DHG,44.06,44.74,44.06,44.74,8550
2014-03-06,DHG,44.74,44.74,44.06,44.74,8110
2014-03-07,DHG,44.4,45.08,44.4,44.74,6020
2014-03-10,DHG,45.08,45.08,44.4,44.74,2800
2014-03-11,DHG,44.4,45.08,44.06,44.4,10540
2014-03-12,DHG,44.06,44.4,44.06,44.4,12580
2014-03-13,DHG,44.4,46.78,44.06,46.78,34860
2014-03-14,DHG,48.81,49.49,47.11,49.49,127040
2014-03-17,DHG,50.84,50.84,48.47,49.83,33700
2014-03-18,DHG,49.83,49.83,49.15,49.15,17340
2014-03-19,DHG,49.15,49.49,48.81,48.81,13160
2014-03-20,DHG,49.15,49.15,48.47,49.15,10210
2014-03-21,DHG,49.15,49.15,47.79,48.13,24550
2014-03-24,DHG,48.81,49.49,48.13,48.47,46400
2014-03-25,DHG,48.47,48.81,47.79,48.47,44150
2014-03-26,DHG,48.47,48.47,47.11,47.79,17060
2014-03-27,DHG,48.81,48.81,47.45,48.13,28070
2014-03-28,DHG,48.13,48.47,47.45,47.45,14480
2014-03-31,DHG,47.45,47.79,46.78,47.11,18220
2014-04-01,DHG,46.78,46.78,45.76,46.1,11740
2014-04-02,DHG,46.1,46.1,45.08,45.76,20640
2014-04-03,DHG,46.1,47.11,45.76,46.78,9580
2014-04-04,DHG,46.78,47.11,46.78,46.78,1620
2014-04-07,DHG,47.11,47.45,46.78,47.45,3770
2014-04-08,DHG,48.47,48.47,47.45,48.13,11970
2014-04-10,DHG,48.13,48.13,47.79,47.79,3640
2014-04-11,DHG,47.45,47.45,46.78,47.45,3430
2014-04-14,DHG,47.79,47.79,47.11,47.45,5860
2014-04-15,DHG,47.11,47.45,46.78,47.11,14260
2014-04-16,DHG,47.11,47.11,46.44,47.11,7660
2014-04-17,DHG,47.11,47.79,47.11,47.79,18160
2014-04-18,DHG,47.79,48.47,47.45,47.79,22350
2014-04-21,DHG,48.13,48.13,47.45,47.79,23140
2014-04-22,DHG,47.79,47.79,47.45,47.79,12530
2014-04-23,DHG,47.79,47.79,47.45,47.45,3430
2014-04-24,DHG,47.45,47.45,46.78,47.45,7390
2014-04-25,DHG,47.45,47.45,47.11,47.45,3190
2014-04-28,DHG,48.13,48.13,47.79,47.79,14500
2014-04-29,DHG,47.79,47.79,47.45,47.79,830
2014-05-05,DHG,48.13,48.13,47.11,47.79,3440
2014-05-06,DHG,47.11,47.11,45.76,46.78,7220
2014-05-07,DHG,45.76,46.78,45.76,46.78,5830
2014-05-08,DHG,46.1,46.1,43.72,43.72,39030
2014-05-09,DHG,43.72,44.74,40.67,43.72,65810
2014-05-12,DHG,43.39,43.39,40.67,40.67,15780
2014-05-13,DHG,40.67,41.01,37.96,39.32,44320
2014-05-14,DHG,39.32,40.0,38.64,39.66,9930
2014-05-15,DHG,39.66,41.01,39.32,39.66,11110
2014-05-16,DHG,38.98,40.34,38.64,40.34,25890
2014-05-19,DHG,41.01,42.03,40.0,42.03,24470
2014-05-20,DHG,42.03,42.71,42.03,42.71,19360
2014-05-21,DHG,43.05,44.4,43.05,44.06,56390
2014-05-22,DHG,44.74,45.08,43.72,44.4,21900
2014-05-23,DHG,44.06,44.06,43.05,44.06,13670
2014-05-26,DHG,44.06,44.06,43.39,44.06,13080
2014-05-27,DHG,44.4,44.74,43.72,44.4,29570
2014-05-28,DHG,45.08,45.08,44.06,44.74,26470
2014-05-29,DHG,45.08,45.08,44.4,44.74,33780
2014-05-30,DHG,47.45,47.45,45.19,46.1,50820
2014-06-02,DHG,47.0,47.0,45.19,45.65,14430
2014-06-03,DHG,45.65,45.65,45.19,45.65,19660
2014-06-04,DHG,45.65,45.65,44.29,44.29,17000
2014-06-05,DHG,45.19,45.19,43.84,44.29,8740
2014-06-06,DHG,44.74,44.74,44.06,44.06,17450
2014-06-09,DHG,44.74,44.74,44.29,44.52,12860
2014-06-10,DHG,44.29,44.29,43.84,43.84,11130
2014-06-11,DHG,43.61,44.06,42.93,43.61,14840
2014-06-12,DHG,43.61,43.84,43.39,43.61,8920
2014-06-13,DHG,44.06,44.06,43.39,44.06,25830
2014-06-16,DHG,44.52,44.52,43.39,43.84,20570
2014-06-17,DHG,44.06,44.06,43.16,43.84,18680
