time,ticker,open,high,low,close,volume
2014-01-02,IMP,4.8,4.81,4.8,4.81,2410
2014-01-03,IMP,4.8,4.84,4.76,4.84,13010
2014-01-06,IMP,4.85,5.16,4.85,5.15,55630
2014-01-07,IMP,5.08,5.15,5.06,5.15,20980
2014-01-08,IMP,5.07,5.28,5.06,5.26,43410
2014-01-09,IMP,5.41,5.41,5.19,5.2,58460
2014-01-10,IMP,5.21,5.28,5.21,5.21,67400
2014-01-13,IMP,5.21,5.52,5.2,5.2,22490
2014-01-14,IMP,5.16,5.23,5.16,5.2,51480
2014-01-15,IMP,5.23,5.56,5.23,5.56,44560
2014-01-16,IMP,5.95,5.95,5.95,5.95,25610
2014-01-17,IMP,6.29,6.29,5.99,6.14,162880
2014-01-20,IMP,6.11,6.17,5.79,6.05,72790
2014-01-21,IMP,6.18,6.44,6.04,6.44,73610
2014-01-22,IMP,6.44,6.56,6.17,6.19,135440
2014-01-23,IMP,6.19,6.42,6.18,6.27,63280
2014-01-24,IMP,6.31,6.5,6.31,6.37,78480
2014-01-27,IMP,6.44,6.44,6.32,6.4,50580
2014-02-06,IMP,6.31,6.4,6.28,6.37,124760
2014-02-07,IMP,6.37,6.76,6.37,6.56,96230
2014-02-10,IMP,6.69,7.02,6.63,7.02,35310
2014-02-11,IMP,7.02,7.4,7.02,7.08,57190
2014-02-12,IMP,7.21,7.47,7.08,7.47,41360
2014-02-13,IMP,7.59,7.59,7.08,7.34,85910
2014-02-14,IMP,7.34,7.34,7.14,7.34,108020
2014-02-17,IMP,7.34,7.34,7.21,7.27,41090
2014-02-18,IMP,7.34,7.34,7.08,7.21,45940
2014-02-19,IMP,7.21,7.34,7.14,7.34,55640
2014-02-20,IMP,7.4,7.4,6.95,6.95,119320
2014-02-21,IMP,7.08,7.14,6.89,7.14,35300
2014-02-24,IMP,7.14,7.14,7.08,7.14,21020
2014-02-25,IMP,7.08,7.21,7.08,7.21,36570
2014-02-26,IMP,7.27,7.27,6.95,7.14,18350
2014-02-27,IMP,7.21,7.21,7.08,7.14,27830
2014-02-28,IMP,6.95,7.08,6.95,7.08,19130
2014-03-03,IMP,7.08,7.08,6.89,6.89,13000
2014-03-04,IMP,6.89,6.89,6.69,6.76,18100
2014-03-05,IMP,6.95,7.21,6.95,7.21,35120
2014-03-06,IMP,7.34,7.66,7.34,7.66,67710
2014-03-07,IMP,7.92,7.92,7.66,7.72,37000
2014-03-10,IMP,7.66,7.66,7.53,7.66,27210
2014-03-11,IMP,7.66,7.72,7.59,7.72,27980
2014-03-12,IMP,7.85,8.24,7.85,8.11,94390
2014-03-13,IMP,8.17,8.17,7.85,8.11,5460
2014-03-14,IMP,8.17,8.37,8.05,8.37,68870
2014-03-17,IMP,8.11,8.37,8.11,8.3,11580
2014-03-18,IMP,8.3,8.37,8.11,8.3,19350
2014-03-19,IMP,8.75,8.82,8.5,8.69,54590
2014-03-20,IMP,9.01,9.27,8.75,8.82,146050
2014-03-21,IMP,9.01,9.01,8.56,8.69,42300
2014-03-24,IMP,8.62,8.82,8.62,8.75,37250
2014-03-25,IMP,8.69,8.69,8.43,8.5,33660
2014-03-26,IMP,8.43,8.43,7.92,7.98,82080
2014-03-27,IMP,7.98,7.98,7.66,7.92,29510
2014-03-28,IMP,7.79,8.37,7.79,8.05,108920
2014-03-31,IMP,8.11,8.17,7.98,8.05,40830
2014-04-01,IMP,7.98,8.11,7.92,8.05,31840
2014-04-02,IMP,7.98,7.98,7.66,7.72,31250
2014-04-03,IMP,7.98,8.11,7.85,7.98,26350
2014-04-04,IMP,7.98,8.17,7.92,7.98,10150
2014-04-07,IMP,7.98,8.05,7.98,8.05,10340
2014-04-08,IMP,7.98,8.11,7.98,8.11,9350
2014-04-10,IMP,7.98,8.11,7.98,8.05,20540
2014-04-11,IMP,7.98,8.05,7.85,7.92,13690
2014-04-14,IMP,7.98,7.98,7.85,7.85,59640
2014-04-15,IMP,7.85,7.92,7.79,7.85,7720
2014-04-16,IMP,7.85,7.85,7.53,7.85,32710
2014-04-17,IMP,7.92,7.92,7.79,7.85,10310
2014-04-18,IMP,7.85,7.85,7.53,7.66,16130
2014-04-21,IMP,7.59,7.59,7.21,7.21,34850
2014-04-22,IMP,7.21,7.47,6.76,7.14,39570
2014-04-23,IMP,7.14,7.47,7.14,7.21,12530
2014-04-24,IMP,7.27,7.27,7.08,7.27,5720
2014-04-25,IMP,7.14,7.47,7.14,7.47,11220
2014-04-28,IMP,7.53,7.53,7.34,7.34,5080
2014-04-29,IMP,7.34,7.4,7.34,7.4,27140
2014-05-05,IMP,7.47,7.47,7.14,7.4,18160
2014-05-06,IMP,7.21,7.34,6.95,7.21,15290
2014-05-07,IMP,7.08,7.27,7.08,7.14,4430
2014-05-08,IMP,7.14,7.14,6.69,6.69,79920
2014-05-09,IMP,6.82,6.89,6.69,6.82,16730
2014-05-12,IMP,6.69,6.69,6.35,6.35,27920
2014-05-13,IMP,6.31,6.37,6.18,6.24,20110
2014-05-14,IMP,6.44,6.63,6.24,6.56,26680
2014-05-15,IMP,6.9,6.9,6.56,6.62,15680
2014-05-16,IMP,6.63,6.7,6.62,6.7,18950
2014-05-19,IMP,6.9,6.9,6.56,6.83,27120
2014-05-20,IMP,6.63,6.76,6.56,6.63,22530
2014-05-21,IMP,6.63,6.96,6.63,6.96,7620
2014-05-22,IMP,6.96,7.23,6.83,6.9,15520
2014-05-23,IMP,6.9,6.9,6.76,6.76,8440
2014-05-26,IMP,6.76,6.83,6.76,6.83,920
2014-05-27,IMP,6.83,7.03,6.76,6.96,51290
2014-05-28,IMP,6.96,7.16,6.96,7.03,8380
2014-05-29,IMP,6.96,7.03,6.96,7.03,1240
2014-05-30,IMP,6.9,7.1,6.9,6.96,9460
2014-06-02,IMP,6.9,6.9,6.76,6.9,13040
2014-06-03,IMP,6.96,6.96,6.76,6.9,12730
2014-06-04,IMP,6.9,6.96,6.76,6.9,48140
2014-06-05,IMP,6.83,6.96,6.76,6.96,16700
2014-06-06,IMP,6.96,7.1,6.96,7.1,30580
2014-06-09,IMP,7.16,7.16,7.03,7.1,1330
2014-06-10,IMP,7.03,7.03,6.96,7.03,28710
2014-06-11,IMP,6.96,7.1,6.96,7.03,32510
2014-06-12,IMP,7.1,7.1,6.96,7.03,6310
2014-06-13,IMP,7.16,7.16,7.03,7.03,18160
2014-06-16,IMP,6.96,7.03,6.96,7.03,19930
2014-06-17,IMP,6.96,7.03,6.9,7.03,25620
2014-06-18,IMP,7.03,7.03,6.96,7.03,41210
2014-06-19,IMP,7.03,7.03,6.9,6.96,14980
2014-06-20,IMP,6.9,7.03,6.9,6.96,13750
2014-06-23,IMP,7.03,7.03,6.9,6.96,2240
2014-06-24,IMP,6.96,7.1,6.96,7.03,33230
2014-06-25,IMP,7.03,7.1,7.03,7.1,26150
2014-06-26,IMP,7.1,7.16,7.03,7.16,49160
2014-06-27,IMP,7.03,7.1,7.03,7.1,37200
2014-06-30,IMP,7.1,7.16,7.03,7.16,40480
2014-07-01,IMP,7.1,7.29,7.1,7.29,17520
2014-07-02,IMP,7.23,7.76,7.16,7.76,37830
2014-07-03,IMP,7.76,7.76,7.56,7.63,9540
2014-07-04,IMP,7.56,7.63,7.43,7.49,9050
2014-07-07,IMP,7.49,7.49,7.29,7.36,38160
2014-07-08,IMP,7.36,7.36,7.16,7.36,17990
2014-07-09,IMP,7.43,7.43,7.23,7.29,4960
2014-07-10,IMP,7.29,7.29,7.23,7.23,9980
2014-07-11,IMP,7.23,7.29,7.16,7.29,1990
2014-07-14,IMP,7.36,7.36,7.29,7.29,300
2014-07-15,IMP,7.29,7.36,7.23,7.23,14080
2014-07-16,IMP,7.29,7.43,7.23,7.43,23600
2014-07-17,IMP,7.43,7.43,7.36,7.43,9730
2014-07-18,IMP,7.36,7.56,7.36,7.56,28580
2014-07-21,IMP,7.56,7.89,7.56,7.76,44600
2014-07-22,IMP,7.76,8.16,7.76,8.09,130990
2014-07-23,IMP,8.09,8.16,7.89,7.96,33680
2014-07-24,IMP,7.96,8.49,7.96,8.49,180870
2014-07-25,IMP,8.49,8.49,8.29,8.36,44270
2014-07-28,IMP,8.36,8.36,8.09,8.22,56570
2014-07-29,IMP,8.22,8.29,8.09,8.22,18850
2014-07-30,IMP,8.22,8.36,8.22,8.29,26710
2014-07-31,IMP,8.29,8.62,8.29,8.62,37850
2014-08-01,IMP,8.62,9.02,8.62,8.89,109750
2014-08-04,IMP,8.89,8.95,8.75,8.89,56620
2014-08-05,IMP,8.89,8.89,8.75,8.89,67780
2014-08-06,IMP,8.82,8.89,8.75,8.75,48700
2014-08-07,IMP,8.62,8.95,8.62,8.89,41880
2014-08-08,IMP,8.75,9.02,8.75,8.75,17300
2014-08-11,IMP,8.89,8.89,8.82,8.89,24220
2014-08-12,IMP,8.95,8.95,8.82,8.82,18350
2014-08-13,IMP,8.95,8.95,8.89,8.95,26950
2014-08-14,IMP,9.08,9.28,9.02,9.22,125140
2014-08-15,IMP,9.08,9.22,9.08,9.15,25770
2014-08-18,IMP,9.15,9.15,8.89,8.95,64410
2014-08-19,IMP,8.75,8.95,8.55,8.55,71840
2014-08-20,IMP,8.49,8.95,8.49,8.89,44250
2014-08-21,IMP,8.95,8.95,8.75,8.89,72400
2014-08-22,IMP,8.89,8.95,8.82,8.95,48160
2014-08-25,IMP,8.89,8.95,8.75,8.89,100290
2014-08-26,IMP,8.89,8.95,8.75,8.82,99660
2014-08-27,IMP,9.43,9.43,9.21,9.23,76270
2014-08-28,IMP,9.23,9.25,9.19,9.19,28100
2014-08-29,IMP,9.15,9.19,9.11,9.11,30870
2014-09-03,IMP,9.11,9.11,8.91,8.91,55430
2014-09-04,IMP,8.85,8.85,8.75,8.79,45850
2014-09-05,IMP,8.79,8.81,8.71,8.79,20590
2014-09-08,IMP,8.79,8.79,8.69,8.69,11640
2014-09-09,IMP,8.71,8.95,8.55,8.65,29550
2014-09-10,IMP,8.65,8.71,8.55,8.71,3110
2014-09-11,IMP,8.65,8.79,8.59,8.65,4960
2014-09-12,IMP,8.67,8.67,8.63,8.65,51920
2014-09-15,IMP,8.65,8.65,8.55,8.55,12670
2014-09-16,IMP,8.55,8.55,8.43,8.53,7810
2014-09-17,IMP,8.55,8.55,8.35,8.35,19930
2014-09-18,IMP,8.35,8.41,8.28,8.41,4510
2014-09-19,IMP,8.37,8.45,8.35,8.45,4490
2014-09-22,IMP,8.45,8.45,8.22,8.24,8150
2014-09-23,IMP,8.24,8.29,8.14,8.14,8020
2014-09-24,IMP,8.04,8.04,7.9,7.9,22550
2014-09-25,IMP,7.78,7.8,7.64,7.76,41810
2014-09-26,IMP,7.76,8.22,7.76,8.12,25670
2014-09-29,IMP,8.12,8.12,7.94,7.94,19090
2014-09-30,IMP,7.94,8.47,7.4,8.45,33480
2014-10-01,IMP,8.75,8.75,8.31,8.33,2670
2014-10-02,IMP,8.37,8.37,8.31,8.33,27110
2014-10-03,IMP,8.28,8.33,7.94,8.06,28390
2014-10-06,IMP,8.06,8.06,7.92,7.92,21270
2014-10-07,IMP,7.9,8.02,7.9,8.02,2740
2014-10-08,IMP,7.96,7.96,7.76,7.82,33650
2014-10-09,IMP,7.86,8.02,7.76,8.02,15970
2014-10-10,IMP,7.82,7.84,7.76,7.78,28490
2014-10-13,IMP,7.76,7.76,7.64,7.64,33820
2014-10-14,IMP,7.64,7.66,7.56,7.56,74230
2014-10-15,IMP,7.56,7.72,7.52,7.56,13410
2014-10-16,IMP,7.56,7.58,7.5,7.5,20210
2014-10-17,IMP,7.56,7.58,7.48,7.54,42470
2014-10-20,IMP,7.56,7.6,7.52,7.58,26170
2014-10-21,IMP,7.62,7.62,7.46,7.54,26850
2014-10-22,IMP,7.54,7.64,7.4,7.6,23150
2014-10-23,IMP,7.56,7.56,7.44,7.56,3580
2014-10-24,IMP,7.56,7.56,7.44,7.56,3640
2014-10-27,IMP,7.54,7.58,7.48,7.48,20180
2014-10-28,IMP,7.32,7.48,7.32,7.48,6540
2014-10-29,IMP,7.46,7.48,7.46,7.48,8590
2014-10-30,IMP,7.48,7.56,7.42,7.42,14320
2014-10-31,IMP,7.54,7.76,7.42,7.76,8220
2014-11-03,IMP,7.76,7.86,7.74,7.84,15640
2014-11-04,IMP,7.86,7.86,7.8,7.82,6800
2014-11-05,IMP,7.86,7.86,7.8,7.86,17900
2014-11-06,IMP,7.9,7.92,7.82,7.9,21100
2014-11-07,IMP,7.94,7.94,7.86,7.86,10590
2014-11-10,IMP,7.84,7.94,7.84,7.9,5690
2014-11-11,IMP,7.92,7.94,7.82,7.86,10380
2014-11-12,IMP,7.88,7.88,7.86,7.88,23240
2014-11-13,IMP,7.88,7.94,7.86,7.94,23850
2014-11-14,IMP,7.94,8.06,7.86,8.06,38070
2014-11-17,IMP,7.96,8.35,7.96,8.35,65660
2014-11-18,IMP,8.63,8.69,8.39,8.65,52950
2014-11-19,IMP,8.67,8.67,8.35,8.35,19780
2014-11-20,IMP,8.29,8.63,8.29,8.55,41100
2014-11-21,IMP,8.55,8.59,8.39,8.39,49240
2014-11-24,IMP,8.39,8.59,8.39,8.59,29190
2014-11-25,IMP,8.39,8.63,8.39,8.61,13760
2014-11-26,IMP,8.61,8.61,8.47,8.55,21350
2014-11-27,IMP,8.41,8.55,8.39,8.53,11900
2014-11-28,IMP,8.53,8.53,8.39,8.51,8870
2014-12-01,IMP,8.53,8.69,8.53,8.57,24140
